population(mil.),country,av_Working_h,human_capital_index,GDP_per_capita,real_consumption_per_capita
0.107,Aruba,1947,2.69,41082.34,32210.28
32.376,Angola,2104,1.48,6967.74,4703.77
0.015,Anguilla,1947,2.69,22802.0,36260.0
2.885,Albania,2143,2.99,13920.96,12956.46
9.378,United Arab Emirates,2707,3.24,76444.17,37386.56
44.973,Argentina,1612,3.1,26285.38,21460.92
2.904,Armenia,1992,3.15,17575.19,16638.02
0.091,Antigua and Barbuda,1947,2.69,31448.13,17120.88
25.483,Australia,1632,3.55,60453.3,40350.81
8.881,Austria,1509,3.38,63329.45,41606.98
10.11,Azerbaijan,1796,2.69,19473.06,13871.4
12.255,Burundi,1947,1.42,1008.46,1024.18
11.491,Belgium,1587,3.15,55312.05,39646.54
12.727,Benin,1947,1.92,3135.09,2679.11
20.962,Burkina Faso,2361,1.29,2234.25,1990.47
164.913,Bangladesh,2418,2.1,6728.7,4864.37
6.975,Bulgaria,1647,3.19,25108.8,20390.14
1.486,Bahrain,2107,2.76,57442.15,31933.85
0.395,Bahamas,1947,2.69,29998.68,26060.76
3.346,Bosnia and Herzegovina,2132,2.69,15804.11,14753.83
9.435,Belarus,1848,2.69,27087.41,19560.04
0.386,Belize,1947,2.89,11098.45,9131.09
0.064,Bermuda,1947,2.69,63470.62,54217.19
11.671,Bolivia,2068,2.97,9799.75,8307.63
207.455,Brazil,1973,3.09,17463.58,14049.27
0.281,Barbados,1947,2.85,11064.38,13910.68
0.443,Brunei Darussalam,1947,2.81,85198.71,38702.26
0.765,Bhutan,1947,2.69,15052.35,10750.59
2.332,Botswana,2334,2.94,17251.97,13839.62
4.945,Central African Republic,1947,1.56,1181.33,1129.5
37.783,Canada,1748,3.72,54641.38,39940.49
8.578,Switzerland,1549,3.7,87007.87,44268.23
19.198,Chile,1930,3.15,25146.84,20071.63
1423.52,China,2357,2.7,18154.17,9840.66
28.193,Côte d'Ivoire,2094,1.7,5510.4,4600.05
25.506,Cameroon,2160,1.9,4862.18,4018.74
92.947,DR Congo,1825,1.8,1019.75,873.74
5.617,Congo Republic,2531,2.16,6762.1,3637.8
49.908,Colombia,2383,2.6,16326.69,13855.85
0.787,Comoros,1947,2.69,3440.95,3833.67
0.514,Cabo Verde,1947,2.69,9717.84,8694.94
5.0,Costa Rica,2069,2.69,23302.63,19781.6
0.19,Curaçao,1947,2.69,22935.89,17744.74
0.067,Cayman Islands,1947,2.69,68005.82,43385.07
0.876,Cyprus,1813,2.9,34310.63,33641.44
10.555,Czechia,1783,3.76,45282.39,32079.47
83.559,Germany,1372,3.68,60705.32,42669.82
1.089,Djibouti,1947,2.69,5763.61,4599.91
0.068,Dominica,1947,2.69,16179.41,17676.47
5.815,Denmark,1372,3.6,62121.25,40287.65
10.894,Dominican Republic,2071,2.77,21453.38,16242.67
43.295,Algeria,2253,2.38,13434.94,9834.51
17.34,Ecuador,1552,2.76,13908.85,10177.99
107.553,Egypt,2404,2.68,15582.04,13071.32
47.435,Spain,1678,2.99,44488.03,32116.29
1.327,Estonia,1694,3.53,39932.81,29093.29
115.737,Ethiopia,1569,1.46,2702.34,2014.51
5.522,Finland,1536,3.5,52806.07,38549.8
0.915,Fiji,1947,2.7,13459.25,12470.82
67.917,France,1504,3.23,51024.61,37495.04
2.268,Gabon,2183,2.88,20310.32,8627.78
67.111,United Kingdom,1545,3.77,50925.15,40005.13
3.797,Georgia,1963,2.69,19476.42,14337.74
31.259,Ghana,1681,2.53,6046.22,5532.88
13.034,Guinea,1947,2.69,3181.0,3175.95
2.457,Gambia,1947,1.41,2706.91,2513.27
1.968,Guinea-Bissau,1947,2.69,2188.38,2272.0
1.67,Equatorial Guinea,1947,2.69,22010.15,17042.46
10.719,Greece,1918,3.14,30168.25,27278.27
0.116,Grenada,1947,2.69,15639.57,13268.1
17.104,Guatemala,2120,1.95,11271.44,9873.95
0.808,Guyana,1947,2.7,12245.52,23840.22
7.486,Hong Kong,2231,3.32,59087.61,49754.72
9.944,Honduras,1947,2.44,6270.04,5587.36
3.986,Croatia,1996,3.61,31803.92,25413.9
11.105,Haiti,1947,1.75,3378.95,3313.02
9.77,Hungary,1721,3.42,33119.34,25513.22
272.489,Indonesia,1982,2.29,12412.57,8155.28
1389.03,India,2605,2.17,8089.71,5566.3
4.933,Ireland,1760,3.19,111687.55,33750.86
87.052,Iran,2320,2.52,13677.08,11733.76
41.192,Iraq,1634,2.29,16024.83,9494.69
0.361,Iceland,1480,3.19,59432.66,43063.99
8.657,Israel,1907,3.81,39897.21,32206.16
60.13,Italy,1680,3.16,47740.45,34232.45
2.823,Jamaica,1952,2.6,9874.34,9374.78
10.672,Jordan,2468,2.9,9902.07,9170.45
126.699,Japan,1688,3.59,43195.51,31437.38
19.21,Kazakhstan,1973,3.45,32290.56,21998.19
51.203,Kenya,2035,2.35,5182.85,4673.57
6.494,Kyrgyzstan,1835,3.38,7366.0,5785.29
16.481,Cambodia,2361,1.91,6220.88,4504.51
0.047,St. Kitts and Nevis,1947,2.69,26340.64,31582.98
51.768,South Korea,1963,3.73,51992.54,30244.81
4.442,Kuwait,2337,2.24,59187.22,32875.3
7.238,Laos,1947,1.94,7463.62,5819.16
5.795,Lebanon,2423,2.69,16703.47,25442.54
5.044,Liberia,1947,1.96,1879.42,2094.11
0.178,St. Lucia,1947,2.69,22499.94,13514.04
22.411,Sri Lanka,2137,2.91,14514.19,11410.88
2.209,Lesotho,1947,2.23,2489.02,3389.54
2.795,Lithuania,1666,3.33,39147.26,32420.79
0.62,Luxembourg,1493,3.28,98689.79,52313.39
1.914,Latvia,1661,3.15,31834.34,25896.71
0.671,Macau,1947,2.85,76328.23,40052.31
36.211,Morocco,2201,1.94,8965.44,6490.73
3.113,Moldova,1972,3.12,14089.09,13362.8
28.22,Madagascar,1752,1.72,1715.67,1546.76
0.488,Maldives,1947,2.32,22533.2,14135.04
125.763,Mexico,1639,2.78,20537.57,17400.59
1.898,North Macedonia,2041,2.69,20949.04,16983.46
21.068,Mali,2212,1.38,2328.63,2390.51
0.504,Malta,1988,3.37,43878.93,33408.73
52.641,Myanmar,2378,1.84,8073.54,5069.61
0.612,Montenegro,1947,2.69,25282.17,22093.79
3.232,Mongolia,1947,2.82,13904.31,10876.05
29.884,Mozambique,1499,1.23,1536.46,1337.85
4.468,Mauritania,1947,1.77,5782.66,4420.97
0.005,Montserrat,1947,2.69,17486.0,32100.0
1.286,Mauritius,1914,2.63,26312.36,22942.07
19.026,Malawi,1581,2.04,1823.19,1549.86
33.441,Malaysia,2316,3.08,28809.24,21997.32
2.65,Namibia,2222,2.25,10421.5,9952.34
22.948,Niger,2051,1.22,1563.17,1298.05
209.486,Nigeria,1995,1.97,5223.66,4970.36
6.484,Nicaragua,1947,2.29,6621.63,5568.52
17.538,Netherlands,1457,3.4,67064.0,40384.23
